level,key,name_cn,pillar,score,rating,field_count,scored_field_count,coverage,evidence_coverage,needs_review_count,auto_cited_count,pillar_weights,theme_key,theme_name_cn
overall,overall,总分,,53.3439,C,53,29,,,28,,"{'E': 0.35, 'S': 0.35, 'G': 0.3}",,
pillar,E,E,E,70.7846,B,21,15,0.7143,0.7143,6,15,,,
pillar,G,G,G,56.3867,C,13,7,0.5385,0.5385,6,7,,,
pillar,S,S,S,33.295,C,19,7,0.3684,0.2632,14,5,,,
theme,business_ethics,商业道德,G,35.5357,C,6,2,0.3333,0.3333,4,2,,business_ethics,商业道德
theme,climate_change,气候变化,E,65.2103,CCC,11,7,0.6364,0.6364,4,7,,climate_change,气候变化
theme,disclosure_quality,信披质量,G,99.5,AAA,1,1,1.0,1.0,0,1,,disclosure_quality,信披质量
theme,environmental_management,环境管理,E,56.8857,C,3,2,0.6667,0.6667,1,2,,environmental_management,环境管理
theme,environmental_pollution,环境污染,E,81.3545,BBB,5,4,0.8,0.8,1,4,,environmental_pollution,环境污染
theme,governance_structure,治理结构,G,71.0786,B,6,4,0.6667,0.6667,2,4,,governance_structure,治理结构
theme,human_capital,人力资本,S,22.9812,C,15,4,0.2667,0.1333,13,2,,human_capital,人力资本
theme,resource_utilization,资源利用,E,99.32,AAA,2,2,1.0,1.0,0,2,,resource_utilization,资源利用
theme,social_contribution,社会贡献,S,66.2333,CCC,3,2,0.6667,0.6667,1,2,,social_contribution,社会贡献
theme,supply_chain,供应链,S,99.5,AAA,1,1,1.0,1.0,0,1,,supply_chain,供应链
